DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
BISACODYL 10 MG RECTAL SUPPOSITORY [1080],5789644305 [328905],NDC,BOTH,1,EA ,5.78,4.85
BISACODYL 10 MG RECTAL SUPPOSITORY [1080],5789644355 [343348],NDC,BOTH,1,EA ,1.58,1.32
BISACODYL 10 MG RECTAL SUPPOSITORY [1080],8142102102 [120514],NDC,BOTH,1,EA ,11.03,9.26
BISACODYL 10 MG RECTAL SUPPOSITORY [1080],8142102103 [120515],NDC,BOTH,1,EA ,5.25,4.41
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION [1090],0536128636 [332443],NDC,BOTH,237,ML,20.48,17.2
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION [1090],0904131309 [25853],NDC,BOTH,236,ML,20.48,17.2
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION [1090],3700003202 [42627],NDC,BOTH,236,ML,20.48,17.2
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION [1090],7700175615 [287698],NDC,BOTH,15,ML,1.84,1.54
BISOPROLOL 10 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18289],2930018901 [204803],NDC,BOTH,1,EA ,23.36,19.62
BISOPROLOL 10 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18289],2930018913 [204805],NDC,BOTH,1,EA ,22.05,18.52
BISOPROLOL 10 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18289],5128504001 [98463],NDC,BOTH,1,EA ,58.8,49.39
BISOPROLOL 2.5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18291],0378050101 [17791],NDC,BOTH,1,EA ,9.19,7.72
BISOPROLOL 2.5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18291],2930018701 [204797],NDC,BOTH,1,EA ,23.36,19.62
BISOPROLOL 2.5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18291],2930018713 [204799],NDC,BOTH,1,EA ,22.05,18.52
BISOPROLOL 2.5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18291],5128504702 [56580],NDC,BOTH,1,EA ,40.69,34.18
BISOPROLOL 5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18290],0185070401 [12304],NDC,BOTH,1,EA ,7.61,6.39
BISOPROLOL 5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18290],0378050301 [17792],NDC,BOTH,1,EA ,9.19,7.72
BISOPROLOL 5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18290],2930018801 [204800],NDC,BOTH,1,EA ,23.36,19.62
BISOPROLOL 5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18290],2930018813 [204802],NDC,BOTH,1,EA ,22.05,18.52
BISOPROLOL 5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18290],4279992101 [331087],NDC,BOTH,1,EA ,48.04,40.35
BISOPROLOL 5 MGHYDROCHLOROTHIAZIDE 6.25 MG TABLET [18290],5128505002 [98464],NDC,BOTH,1,EA ,58.8,49.39
BIVALIRUDIN 250 MG INTRAVENOUS POWDER FOR SOLUTION [29396],6332356215 [301654],NDC,BOTH,1,EA ,521.06,437.69
BIVALIRUDIN 250 MG INTRAVENOUS POWDER FOR SOLUTION [29396],6529300101 [91857],NDC,BOTH,1,EA ,3424.58,2876.64
BIVALIRUDIN 250 MG INTRAVENOUS POWDER FOR SOLUTION [29396],6529300101 [91857],NDC,BOTH,5,ME,3082.01,2588.89
BIVALIRUDIN 250 MG INTRAVENOUS POWDER FOR SOLUTION [29396],6745725600 [304036],NDC,BOTH,1,EA ,3328.76,2796.16
BIVALIRUDIN 250 MG INTRAVENOUS POWDER FOR SOLUTION [29396],6745725610 [304037],NDC,BOTH,1,EA ,3328.76,2796.16
BLEOMYCIN 15 UNIT SOLUTION FOR INJECTION [9289],0703315401 [24360],NDC,BOTH,1,EA ,336.53,282.68
BLEOMYCIN 15 UNIT SOLUTION FOR INJECTION [9289],6170333218 [86997],NDC,BOTH,1,EA ,302.4,254.02
BLEOMYCIN 15 UNIT SOLUTION FOR INJECTION [9289],6332313610 [177581],NDC,BOTH,1,EA ,282.19,237.04
BLEOMYCIN 30 UNIT SOLUTION FOR INJECTION [17012],0703315501 [24362],NDC,BOTH,1,EA ,568.31,477.38
BLEOMYCIN 30 UNIT SOLUTION FOR INJECTION [17012],0703315501 [24362],NDC,BOTH,5,UN,316.84,266.14
BLEOMYCIN 30 UNIT SOLUTION FOR INJECTION [17012],6170332322 [86991],NDC,BOTH,1,EA ,504.79,424.02
BLEOMYCIN 30 UNIT SOLUTION FOR INJECTION [17012],6332313720 [177582],NDC,BOTH,1,EA ,427.09,358.75
BLEOMYCIN 30 UNIT SOLUTION FOR INJECTION [17012],7128810720 [310219],NDC,BOTH,1,EA ,381.68,320.61
BORTEZOMIB 3.5 MG INJECTION POWDER FOR SOLUTION [123070],0143909801 [350083],NDC,BOTH,1.3,ME,203.7,171.11
BORTEZOMIB 3.5 MG INJECTION POWDER FOR SOLUTION [123070],0143909801 [350083],NDC,BOTH,3.5,ME,285.34,239.68
BORTEZOMIB 3.5 MG INJECTION POWDER FOR SOLUTION [123070],1001999101 [347120],NDC,BOTH,3.5,ME,364.61,306.27
BORTEZOMIB 3.5 MG INJECTION POWDER FOR SOLUTION [123070],2502124410 [347155],NDC,BOTH,3.5,ME,1096.73,921.25
BORTEZOMIB 3.5 MG INJECTION POWDER FOR SOLUTION [123070],5074248401 [347246],NDC,BOTH,3.5,ME,1303.05,1094.56
BORTEZOMIB 3.5 MG INJECTION POWDER FOR SOLUTION [123070],7071014111 [347476],NDC,BOTH,3.5,ME,673.05,565.36
BORTEZOMIB 3.5 MG INJECTION POWDER FOR SOLUTION [123070],7086022510 [347484],NDC,BOTH,3.5,ME,890.4,747.94
BORTEZOMIB 3.5 MG INTRAVENOUS POWDER FOR SOLUTION [178066],6332372110 [301660],NDC,BOTH,3.5,ME,5695.73,4784.41
BORTEZOMIB 3.5MG FOR SUBCUTANEOUS INJECTION [408642],2502124410 [347155],NDC,BOTH,3.5,ME,1096.73,921.25
BORTEZOMIB 3.5MG FOR SUBCUTANEOUS INJECTION [408642],6302004901 [89417],NDC,BOTH,3.5,ME,5695.73,4784.41
BORTEZOMIB 3.5MG FOR SUBCUTANEOUS INJECTION [408642],6302004904 [315697],NDC,BOTH,3.5,ME,5695.73,4784.41
BORTEZOMIB 3.5MG FOR SUBCUTANEOUS INJECTION [408642],7086022510 [347484],NDC,BOTH,3.5,ME,890.4,747.94
BRENTUXIMAB VEDOTIN 50 MG INTRAVENOUS SOLUTION [111348],5114405001 [212963],NDC,BOTH,1,EA ,17629.24,14808.56
BRENTUXIMAB VEDOTIN 50 MG INTRAVENOUS SOLUTION [111348],5114405001 [212963],NDC,BOTH,1.8,ME,41252.14,34651.8
BRETYLIUM TOSYLATE 50 MG/ML INJECTION SOLUTION [1156],6255987011 [325239],NDC,BOTH,10,ML,1069.95,898.76
BREXPIPRAZOLE 0.5 MG TABLET [168108],5914803613 [281239],NDC,BOTH,1,EA ,265.65,223.15
BREXPIPRAZOLE 2 MG TABLET [168110],5914803813 [281241],NDC,BOTH,1,EA ,265.65,223.15
BREXPIPRAZOLE 3 MG TABLET [168111],5914803913 [281242],NDC,BOTH,1,EA ,265.65,223.15
BRIMONIDINE 0.1 % EYE DROPS [70262],0023932105 [129358],NDC,BOTH,5,ML,727.39,611.01
BRIMONIDINE 0.1 % EYE DROPS [70262],0023932110 [129359],NDC,BOTH,10,ML,1454.25,1221.57
BRIMONIDINE 0.15 % EYE DROPS [31158],0023917705 [2663],NDC,BOTH,5,ML,775.43,651.36
BRIMONIDINE 0.15 % EYE DROPS [31158],6131414405 [190202],NDC,BOTH,5,ML,756.53,635.48
BRIMONIDINE 0.2 % EYE DROPS [17881],1747871510 [139220],NDC,BOTH,5,ML,170.89,143.55
BRIMONIDINE 0.2 % EYE DROPS [17881],2420841105 [40479],NDC,BOTH,5,ML,117.86,99
BRIMONIDINE 0.2 % EYE DROPS [17881],6131414305 [86599],NDC,BOTH,5,ML,170.89,143.55
BRIMONIDINE 0.2 % EYE DROPS [17881],6131414315 [86601],NDC,BOTH,15,ML,386.66,324.8
BRIMONIDINE 0.2 % EYE DROPS [17881],7006923101 [319462],NDC,BOTH,5,ML,81.38,68.36
BRIMONIDINE 0.2 %TIMOLOL 0.5 % EYE DROPS [87834],0023921105 [152638],NDC,BOTH,5,ML,801.94,673.63
BROMOCRIPTINE 2.5 MG TABLET [9297],0574010601 [167865],NDC,BOTH,1,EA ,24.41,20.51
BROMOCRIPTINE 2.5 MG TABLET [9297],0574010603 [167866],NDC,BOTH,1,EA ,27.04,22.71
BROMOCRIPTINE 2.5 MG TABLET [9297],0781532501 [129614],NDC,BOTH,1,EA ,40.69,34.18
BROMOCRIPTINE 2.5 MG TABLET [9297],6068728611 [296983],NDC,BOTH,1,EA ,53.81,45.2
BROMOCRIPTINE 2.5 MG TABLET [9297],6068728621 [296984],NDC,BOTH,1,EA ,53.81,45.2
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0093681519 [314765],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0093681545 [246473],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0093681555 [314766],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0093681573 [167545],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0115168774 [300565],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0115168776 [300566],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0487960101 [287545],NDC,BOTH,2,ML,61.69,51.82
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0781751514 [284912],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],0781751587 [284913],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],6909731832 [331664],NDC,BOTH,2,ML,61.69,51.82
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],6909731853 [331665],NDC,BOTH,2,ML,61.69,51.82
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],6909731886 [307507],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [28774],6909731887 [300236],NDC,BOTH,2,ML,61.16,51.38
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION [28775],0093681645 [246474],NDC,BOTH,2,ML,72.19,60.64
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION [28775],0487970101 [287547],NDC,BOTH,2,ML,72.71,61.08
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION [28775],6068752479 [325202],NDC,BOTH,2,ML,72.98,61.3
BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION [28775],6068752483 [325203],NDC,BOTH,2,ML,72.98,61.3
BUDESONIDEFORMOTEROL HFA 160 MCG4.5 MCG/ACTUATION AEROSOL INHALER [81454],0186037028 [153113],NDC,BOTH,6,GM,1041.6,874.94
BUDESONIDEFORMOTEROL HFA 160 MCG4.5 MCG/ACTUATION AEROSOL INHALER [81454],0310737020 [325862],NDC,BOTH,10.2,GM,1384.95,1163.36
BUDESONIDEFORMOTEROL HFA 80 MCG4.5 MCG/ACTUATION AEROSOL INHALER [81453],0186037228 [153114],NDC,BOTH,6.9,GM,905.63,760.73
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0409141204 [133532],NDC,BOTH,4,ML,16.54,13.89
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0409141204 [133532],NDC,BOTH,40,ML,164.59,138.25
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0409141210 [133533],NDC,BOTH,10,ML,25.99,21.83
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0409141234 [325903],NDC,BOTH,4,ML,16.54,13.89
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0409141240 [325904],NDC,BOTH,10,ML,25.99,21.83
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0641600701 [215376],NDC,BOTH,10,ML,25.73,21.61
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0641600710 [215377],NDC,BOTH,10,ML,25.73,21.61
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0641600801 [215378],NDC,BOTH,4,ML,23.63,19.85
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],0641600810 [215379],NDC,BOTH,4,ML,23.63,19.85
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],5539050005 [76338],NDC,BOTH,4,ML,11.55,9.7
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],5539050010 [76339],NDC,BOTH,10,ML,32.55,27.34
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],6521957001 [355388],NDC,BOTH,4,ML,23.63,19.85
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],6521957004 [355389],NDC,BOTH,4,ML,23.63,19.85
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],6521957201 [355390],NDC,BOTH,10,ML,25.46,21.39
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],6521957210 [355391],NDC,BOTH,10,ML,25.46,21.39
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],6846246940 [353516],NDC,BOTH,4,ML,17.85,14.99
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],6846246954 [353517],NDC,BOTH,4,ML,17.85,14.99
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],7086040504 [345033],NDC,BOTH,4,ML,21.53,18.08
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],7086040541 [345034],NDC,BOTH,4,ML,21.53,18.08
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],7086040610 [345035],NDC,BOTH,10,ML,25.99,21.83
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],7086040641 [345036],NDC,BOTH,10,ML,25.99,21.83
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],7220510101 [354002],NDC,BOTH,4,ML,20.48,17.2
BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [9308],7220510107 [354003],NDC,BOTH,4,ML,20.48,17.2
BUMETANIDE 0.5 MG TABLET [9309],0185012801 [12226],NDC,BOTH,1,EA ,7.09,5.95
BUMETANIDE 0.5 MG TABLET [9309],1453970001 [321627],NDC,BOTH,1,EA ,16.01,13.45
BUMETANIDE 0.5 MG TABLET [9309],1671483101 [310839],NDC,BOTH,1,EA ,13.13,11.03
BUMETANIDE 0.5 MG TABLET [9309],4279911901 [278861],NDC,BOTH,1,EA ,15.75,13.23
BUMETANIDE 0.5 MG TABLET [9309],5026813011 [318352],NDC,BOTH,1,EA ,9.98,8.38
BUMETANIDE 0.5 MG TABLET [9309],5026813015 [318353],NDC,BOTH,1,EA ,9.98,8.38
BUMETANIDE 0.5 MG TABLET [9309],6923814891 [300260],NDC,BOTH,1,EA ,16.01,13.45
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],0409115902 [123490],NDC,BOTH,30,ML,12.86,10.8
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],0409115918 [295289],NDC,BOTH,10,ML,12.86,10.8
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],0409115919 [295290],NDC,BOTH,30,ML,12.86,10.8
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],0409155910 [123514],NDC,BOTH,10,ML,25.73,21.61
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],0409155918 [284419],NDC,BOTH,10,ML,25.73,21.61
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],5515016830 [250164],NDC,BOTH,30,ML,21,17.64
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],6332346402 [325267],NDC,BOTH,30,ML,51.19,43
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],6332346417 [223165],NDC,BOTH,10,ML,44.63,37.49
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],6332346431 [190329],NDC,BOTH,30,ML,53.81,45.2
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [1222],6332346437 [206529],NDC,BOTH,30,ML,51.19,43
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],0143933101 [343220],NDC,BOTH,10,ML,19.69,16.54
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],0143933110 [343221],NDC,BOTH,10,ML,19.69,16.54
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],0143933401 [344456],NDC,BOTH,30,ML,23.63,19.85
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],0143933410 [344457],NDC,BOTH,30,ML,23.63,19.85
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],0409116201 [129479],NDC,BOTH,10,ML,14.96,12.57
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],0409116202 [127137],NDC,BOTH,30,ML,14.44,12.13
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],0409116218 [295295],NDC,BOTH,10,ML,14.96,12.57
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],0409116219 [295296],NDC,BOTH,30,ML,14.44,12.13
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],5515016910 [250165],NDC,BOTH,10,ML,23.63,19.85
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],5515017030 [250166],NDC,BOTH,30,ML,23.1,19.4
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],6332346601 [341414],NDC,BOTH,30,ML,49.35,41.45
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],6332346603 [324264],NDC,BOTH,10,ML,35.7,29.99
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],6332346617 [208824],NDC,BOTH,10,ML,35.7,29.99
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],6332346631 [190333],NDC,BOTH,30,ML,58.01,48.73
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [105640],6332346637 [206530],NDC,BOTH,30,ML,49.35,41.45
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],0409176102 [127156],NDC,BOTH,2,ML,35.18,29.55
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],0409176105 [350125],NDC,BOTH,2,ML,39.11,32.85
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],0409176110 [350126],NDC,BOTH,2,ML,39.11,32.85
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],0409176118 [297378],NDC,BOTH,2,ML,34.91,29.33
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],0409176119 [287453],NDC,BOTH,2,ML,35.18,29.55
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],0409361301 [115939],NDC,BOTH,2,ML,18.38,15.44
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],0409361311 [325919],NDC,BOTH,2,ML,18.38,15.44
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],3600009201 [289925],NDC,BOTH,2,ML,38.33,32.19
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) IN 8.25 % DEXTROSE INJECTION [9316],3600009210 [289926],NDC,BOTH,2,ML,38.33,32.19
BUPIVACAINE HCL 0.25 % (2.5 MG/ML) INJECTION SOLUTION [127123],5515024950 [298369],NDC,BOTH,50,ML,32.29,27.12
BUPIVACAINE HCL 0.25 % (2.5 MG/ML) INJECTION SOLUTION [127123],6332346557 [213764],NDC,BOTH,50,ML,78.49,65.93
BUPIVACAINE LIPOSOME(PF) 1.3 %(13.3 MG/ML) SUSPENSION FOR INFILTRATION [112781],6525026604 [293288],NDC,BOTH,20,ML,1378.39,1157.85
BUPIVACAINE LIPOSOME(PF) 1.3 %(13.3 MG/ML) SUSPENSION FOR INFILTRATION [112781],6525026609 [293289],NDC,BOTH,20,ML,1378.39,1157.85
BUPIVACAINE LIPOSOME(PF) 1.3 %(13.3 MG/ML) SUSPENSION FOR INFILTRATION [112781],6525026620 [223526],NDC,BOTH,20,ML,1378.39,1157.85
BUPRENORPHINE 10 MCG/HOUR WEEKLY TRANSDERMAL PATCH [107661],0093365721 [313072],NDC,BOTH,1,EA ,453.08,380.58
BUPRENORPHINE 10 MCG/HOUR WEEKLY TRANSDERMAL PATCH [107661],0093365740 [313073],NDC,BOTH,1,EA ,453.08,380.58
BUPRENORPHINE 12 MGNALOXONE 3 MG SUBLINGUAL FILM [119051],4778135803 [313702],NDC,BOTH,1,EA ,114.19,95.92
BUPRENORPHINE 12 MGNALOXONE 3 MG SUBLINGUAL FILM [119051],4778135811 [313703],NDC,BOTH,1,EA ,114.19,95.92
BUPRENORPHINE 2 MGNALOXONE 0.5 MG SUBLINGUAL FILM [106176],0781721664 [316472],NDC,BOTH,1,EA ,33.34,28
BUPRENORPHINE 2 MGNALOXONE 0.5 MG SUBLINGUAL TABLET [34713],0054018813 [253531],NDC,BOTH,1,EA ,38.06,31.97
BUPRENORPHINE 2 MGNALOXONE 0.5 MG SUBLINGUAL TABLET [34713],5026814411 [291395],NDC,BOTH,1,EA ,30.98,26.02
BUPRENORPHINE 2 MGNALOXONE 0.5 MG SUBLINGUAL TABLET [34713],5026814415 [291396],NDC,BOTH,1,EA ,30.98,26.02
BUPRENORPHINE 2 MGNALOXONE 0.5 MG SUBLINGUAL TABLET [34713],6275696983 [301563],NDC,BOTH,1,EA ,38.06,31.97
BUPRENORPHINE 2 MGNALOXONE 0.5 MG SUBLINGUAL TABLET [34713],6516241603 [237442],NDC,BOTH,1,EA ,38.06,31.97
BUPRENORPHINE 4 MGNALOXONE 1 MG SUBLINGUAL FILM [119050],0378876616 [328067],NDC,BOTH,1,EA ,60.11,50.49
BUPRENORPHINE 4 MGNALOXONE 1 MG SUBLINGUAL FILM [119050],0378876693 [328068],NDC,BOTH,1,EA ,60.11,50.49
BUPRENORPHINE 4 MGNALOXONE 1 MG SUBLINGUAL FILM [119050],4778135603 [313698],NDC,BOTH,1,EA ,57.23,48.07
BUPRENORPHINE 4 MGNALOXONE 1 MG SUBLINGUAL FILM [119050],4778135611 [313699],NDC,BOTH,1,EA ,57.23,48.07
BUPRENORPHINE 5 MCG/HOUR WEEKLY TRANSDERMAL PATCH [107660],4285875040 [295894],NDC,BOTH,1,EA ,254.36,213.66
BUPRENORPHINE 5 MCG/HOUR WEEKLY TRANSDERMAL PATCH [107660],5074237201 [363313],NDC,BOTH,1,EA ,328.65,276.07
BUPRENORPHINE 5 MCG/HOUR WEEKLY TRANSDERMAL PATCH [107660],5074237204 [363314],NDC,BOTH,1,EA ,328.65,276.07
BUPRENORPHINE 8 MGNALOXONE 2 MG SUBLINGUAL TABLET [34714],0054018913 [253532],NDC,BOTH,1,EA ,67.73,56.89
BUPRENORPHINE 8 MGNALOXONE 2 MG SUBLINGUAL TABLET [34714],5026814511 [291397],NDC,BOTH,1,EA ,55.13,46.31
BUPRENORPHINE 8 MGNALOXONE 2 MG SUBLINGUAL TABLET [34714],5026814515 [291398],NDC,BOTH,1,EA ,55.13,46.31
BUPRENORPHINE 8 MGNALOXONE 2 MG SUBLINGUAL TABLET [34714],6217545832 [309713],NDC,BOTH,1,EA ,67.73,56.89
BUPRENORPHINE 8 MGNALOXONE 2 MG SUBLINGUAL TABLET [34714],6516241503 [237441],NDC,BOTH,1,EA ,67.73,56.89
BUPRENORPHINE HCL 0.3 MG/ML INJECTION SOLUTION [129811],1249607571 [37695],NDC,BOTH,1,ML,118.39,99.45
BUPRENORPHINE HCL 150 MCG BUCCAL FILM [168743],5938502201 [298412],NDC,BOTH,1,EA ,52.5,44.1
BUPRENORPHINE HCL 150 MCG BUCCAL FILM [168743],5938502260 [298413],NDC,BOTH,1,EA ,52.5,44.1
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET [34711],4285850103 [299712],NDC,BOTH,1,EA ,2.63,2.21
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET [34711],5038392493 [219225],NDC,BOTH,1,EA ,29.66,24.92
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET [34711],6068748111 [325192],NDC,BOTH,1,EA ,16.01,13.45
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET [34711],6068748121 [325193],NDC,BOTH,1,EA ,16.01,13.45
BUPRENORPHINE HCL 2 MG SUBLINGUAL TABLET [34711],6275645983 [292776],NDC,BOTH,1,EA ,29.4,24.7
BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET [34712],0054017713 [185442],NDC,BOTH,1,EA ,50.4,42.34
BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET [34712],4285850203 [299713],NDC,BOTH,1,EA ,4.73,3.97
BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET [34712],5038393093 [212417],NDC,BOTH,1,EA ,55.13,46.31
BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET [34712],6068749211 [325196],NDC,BOTH,1,EA ,27.3,22.93
BUPRENORPHINE HCL 8 MG SUBLINGUAL TABLET [34712],6068749221 [325197],NDC,BOTH,1,EA ,27.3,22.93
BUPROPION HCL 100 MG TABLET [9321],0781106401 [24866],NDC,BOTH,1,EA ,6.3,5.29
BUPROPION HCL 100 MG TABLET [9321],0904663661 [310741],NDC,BOTH,1,EA ,12.86,10.8
BUPROPION HCL 100 MG TABLET [9321],2315519201 [289643],NDC,BOTH,1,EA ,7.09,5.95
BUPROPION HCL 100 MG TABLET [9321],5107994420 [56379],NDC,BOTH,1,EA ,12.86,10.8
BUPROPION HCL 100 MG TABLET [9321],6050501571 [177533],NDC,BOTH,1,EA ,7.09,5.95
BUPROPION HCL 100 MG TABLET [9321],6068735101 [301496],NDC,BOTH,1,EA ,11.81,9.92
BUPROPION HCL 100 MG TABLET [9321],6068735111 [301497],NDC,BOTH,1,EA ,11.81,9.92
